state,area_mi2,pop2023,gdp2022_mill_usd
Alaska,665384,733406,63618
Texas,268596,30503301,2355960
California,163695,38965193,3598103
Montana,147040,1132812,65015
New Mexico,121590,2114371,122115
Arizona,113990,7431344,458950
Nevada,110572,3194176,215918
Colorado,104094,5877610,484372
Oregon,98379,4233358,299125
Wyoming,97813,584057,47433
Michigan,96714,10037261,620696
Minnesota,86936,5737915,446500
Utah,84897,3417734,248176
Idaho,83569,1964726,109546
Kansas,82278,2940546,210670
Nebraska,77348,1978379,161702
South Dakota,77116,919318,67571
Washington,71298,7812880,725514
North Dakota,70698,783926,73267
Oklahoma,69899,4053824,240534
Missouri,69707,6196156,389931
Florida,65758,22610726,1389070
Wisconsin,65496,5910955,401792
Georgia,59425,11029227,755698
Illinois,57914,12549689,1033310
Iowa,56273,3207004,231108
New York,54555,19571216,2053180
North Carolina,53819,10835491,730072
Arkansas,53179,3067732,165221
Alabama,52420,5108468,277817
Louisiana,52378,4573749,281429
Mississippi,48432,2939690,138740
Pennsylvania,46054,12961683,923089
Ohio,44826,11785935,822670
Virginia,42775,8715698,649393
Tennessee,42144,7126489,475755
Kentucky,40408,4526154,260304
Indiana,36420,6862199,455750
Maine,35380,1395722,84497
South Carolina,32020,5373555,295880
West Virginia,24230,1770071,95588
Maryland,12406,6180253,470187
Hawaii,10932,1435138,98219
Massachusetts,10554,7001399,688392
Vermont,9616,647464,40617
New Hampshire,9349,1402054,105414
New Jersey,8723,9290841,745422
Connecticut,5543,3617176,321845
Delaware,2489,1031890,87525
Rhode Island,1545,1095962,71402
